,precision,recall,f1-score,support
Concentration,0.6393643031784841,0.9355992844364938,0.7596223674655047,559.0
Mind Wandering,0.64,0.17827298050139276,0.2788671023965142,359.0
accuracy,0.6394335511982571,0.6394335511982571,0.6394335511982571,0.6394335511982571
macro avg,0.6396821515892421,0.5569361324689432,0.5192447349310094,918.0
weighted avg,0.6396129035694691,0.6394335511982571,0.5716145895136882,918.0
