Feature,Importance
alpha_dB_B10,0.0038584409094106916
alpha_dB_A25,0.0038420598649641867
beta_dB_B2,0.0038308151304705046
gamma_dB_B6,0.00382321662740431
alpha_dB_A7,0.003626580983670644
alpha_dB_A1,0.0035967195338427655
gamma_dB_A31,0.003426947651799467
alpha_dB_A26,0.003401138668309842
theta_dB_B22,0.0033642406579360174
alpha_dB_B21,0.0033537844845202137
beta_dB_B28,0.003276637969490169
beta_dB_A23,0.0031852484436391154
gamma_dB_B2,0.0030644639344192173
alpha_dB_B29,0.0029594906107270804
alpha_dB_A14,0.0029132216294754047
theta_dB_A19,0.002829097550595525
beta_dB_A6,0.002761193691894864
gamma_dB_A25,0.0027564785795499173
theta_dB_B31,0.0026735676057627073
alpha_dB_B16,0.002654616283279516
delta_dB_A26,0.0026472008703982914
alpha_dB_B3,0.002588399701354486
beta_dB_A2,0.002566376846927284
gamma_dB_B22,0.0025612276116332277
beta_dB_A30,0.0024979929834011206
theta_dB_A16,0.002466511642999032
alpha_dB_B25,0.0024153120440530084
delta_dB_A14,0.0023531563794078367
alpha_dB_B7,0.0023461943641908097
alpha_dB_A4,0.002342052467365502
theta_dB_A29,0.002335213626931512
theta_dB_B10,0.002326093302348681
gamma_dB_A8,0.002262347878600405
theta_dB_A7,0.002256533674631451
beta_dB_A15,0.0022532400624709083
theta_dB_A1,0.0022473560869518757
alpha_dB_A28,0.0022407532126049222
alpha_dB_B17,0.002216076014680971
beta_dB_A20,0.0021944315834492097
theta_dB_A12,0.0021826152697527134
alpha_dB_B9,0.0021796123502966975
theta_dB_A9,0.0021513893897898385
alpha_dB_A18,0.0021390341118864686
beta_dB_A19,0.0021369922793973133
alpha_dB_A12,0.002130210344782405
alpha_dB_A3,0.002108281094432201
delta_dB_B29,0.002063196734433306
alpha_dB_B24,0.0020590288891924697
alpha_dB_B18,0.0020412701102389894
theta_dB_A18,0.0020400513805282987
theta_dB_A10,0.002008661930475681
beta_dB_B24,0.0019780656537765643
delta_dB_A30,0.0019408569299144852
alpha_dB_A30,0.0019359822543340548
theta_dB_A3,0.0018505305827624444
theta_dB_B28,0.001806775046582752
gamma_dB_B26,0.0017279288614134639
delta_dB_A20,0.0017040723731118323
delta_dB_B24,0.0015936494330896405
alpha_dB_A29,0.0015822776154499898
beta_dB_B27,0.001581239422086897
beta_dB_A27,0.0015791820678677333
gamma_dB_A15,0.0015642943945927152
delta_dB_B16,0.0015589738745627935
gamma_dB_A1,0.0015564384203069928
theta_dB_A4,0.0015552263491075565
beta_dB_B7,0.001512612742559333
delta_dB_A25,0.001510388624760095
beta_dB_B5,0.0015054804176277995
theta_dB_B12,0.001504225054421721
beta_dB_A11,0.0014890162262989294
beta_dB_A24,0.0014824146604277707
beta_dB_B20,0.0014602084211508537
alpha_dB_A19,0.0014020944134207614
theta_dB_A11,0.0013534091922052717
gamma_dB_B30,0.001294773840059285
theta_dB_A30,0.0012915904195451111
alpha_dB_B14,0.0012849637113272435
gamma_dB_A30,0.0012419304266241625
gamma_dB_B4,0.0012139440409248328
alpha_dB_A16,0.0012123998088587396
gamma_dB_B21,0.0011989467752811895
beta_dB_A31,0.0011948698196092506
alpha_dB_B6,0.001164435541205976
theta_dB_B15,0.001161337718244936
gamma_dB_B20,0.0011555263503229842
gamma_dB_B23,0.0011286434691664057
alpha_dB_B22,0.001120090348580928
theta_dB_B5,0.001102061091147322
beta_dB_A5,0.0010943134702880504
gamma_dB_B17,0.0010830190572932575
delta_dB_A11,0.001078544879692589
