Time,Concentration_Mean,Concentration_SEM,Mind_Wandering_Mean,Mind_Wandering_SEM,Difference_Mean,Difference_SEM,t_value,p_value
-90.0,,,,,,,,
-89.96870653685674,0.015775971669595056,0.006620313560675401,0.012569694532232738,0.006995739376836143,0.003206277137362318,0.009631662425058219,0.6755787196944442,0.5111472346682294
-89.93741307371349,0.013074241318844252,0.004828692658944865,0.01011983283050617,0.005075709646681259,0.002954408488338082,0.007005647808158873,0.656146468378505,0.5231743619588816
-89.90611961057023,0.006328054638558485,0.0035541579356839458,0.003490933609237304,0.0033970557613326804,0.002837121029321181,0.0049165055148335515,0.6673330728041768,0.516230879942496
-89.87482614742699,0.0006874838140457102,0.003160758680563023,-0.0013705684159294996,0.0025556656076178626,0.0020580522299752098,0.004064704433869119,0.5159580823380879,0.6145465187354128
-89.84353268428373,-0.002881597378627846,0.003284800092536914,-0.002943177167238756,0.0027367911167845522,6.157978861091006e-05,0.004275504328712737,0.01561421875620949,0.9877792550885562
-89.81223922114047,-0.004882632240113585,0.0034482398256630276,-0.0034406321406059495,0.003194853803708923,-0.0014420000995076353,0.004700792350483263,-0.3192129607128559,0.7546363787215322
-89.78094575799722,-0.005201998819233403,0.003502076263948828,-0.0039077106389536044,0.00322441898453686,-0.0012942881802797982,0.00476040081782569,-0.2698856279378168,0.79148494703898
-89.74965229485396,-0.004411656236436579,0.00346262882362643,-0.004057722945038322,0.002972626401667958,-0.0003539332913982578,0.004563584785462186,-0.07936544755290154,0.9379506570029033
-89.7183588317107,-0.003910782883662824,0.003302505698040329,-0.003794447423024596,0.002892692790298604,-0.00011633546063822804,0.004390240934690756,-0.02744775413322722,0.9785194935570556
-89.68706536856746,-0.004735611608340044,0.0029752506874909305,-0.0044953909845876685,0.0031627273161949393,-0.00024022062375237546,0.004342229925973623,-0.05219943906500099,0.9591633679452494
-89.6557719054242,-0.00671239968148171,0.0028114319182291473,-0.005777031129728225,0.003356831559071538,-0.0009353685517534847,0.004378637635933839,-0.18029833504524326,0.8596986128317057
-89.62447844228095,-0.00861845186554499,0.0033116317050393717,-0.006434593886307294,0.00344595962606843,-0.002183857979237697,0.004779282612936344,-0.366176059608936,0.7201238605387199
-89.59318497913769,-0.008672805128620087,0.0034138820741677406,-0.005519075771784667,0.0034187527474016572,-0.0031537293568354207,0.004831403643268715,-0.5281929717539448,0.6062649142704128
-89.56189151599443,-0.007470762901625521,0.0029704223239114293,-0.003713277397622057,0.003397677878685506,-0.0037574855040034645,0.004513050381914677,-0.7135734934868749,0.48810452264324367
-89.53059805285118,-0.006910103373600522,0.0028536457157086253,-0.002217581526961418,0.0034189889482436247,-0.004692521846639104,0.004453400868885962,-0.9585792332985882,0.35526005126161453
-89.49930458970793,-0.007185354923954545,0.003354985196132278,-0.0012461355619725267,0.003276914318382113,-0.005939219361982019,0.004689786041631798,-1.1974594404342669,0.2525063554165699
-89.46801112656468,-0.007205363233980279,0.003901848096461015,-0.0008720157391394186,0.0029175209800533044,-0.006333347494840861,0.004871996227103182,-1.190994912048176,0.2549479752400722
-89.43671766342142,-0.0067213804846627135,0.003864529093910774,-0.0009075103707520719,0.002533601497595797,-0.005813870113910642,0.004621008728221847,-1.0149392862674695,0.32865284197718414
-89.40542420027816,-0.006753718071196198,0.0037670609098838597,-0.0008172608661198545,0.002519095438934464,-0.005936457205076343,0.004531731427306282,-1.027017654345904,0.323143244048094
-89.3741307371349,-0.007091888882700163,0.00375424883313165,-7.997939121836867e-05,0.0025562747695077157,-0.007011909491481795,0.004541907638679158,-1.306084397172799,0.21416208674611306
-89.34283727399165,-0.0059051111017155615,0.0032828245001351474,0.0009535832981110029,0.0025660965116895322,-0.0068586943998265645,0.004166747893260734,-1.4273011994700928,0.1770702571558859
-89.3115438108484,-0.003348591568741921,0.0030005074624026274,0.002006914221640508,0.0026804276201827307,-0.005355505790382429,0.0040233987198601525,-1.1592953763734344,0.2671869727265339
-89.28025034770515,-0.0009721951254635452,0.003184089309089484,0.0028406620888496927,0.0029619130768475076,-0.003812857214313238,0.004348718639215259,-0.811611728528914,0.4316245999404751
-89.24895688456189,0.0008776723738651348,0.0032963890421561773,0.003486940047333817,0.0032885369109066803,-0.002609267673468682,0.00465624910541124,-0.5203267261386202,0.6115830524156479
-89.21766342141864,0.0019560715082911104,0.003479310352183082,0.0036793860747406045,0.003528583575876748,-0.0017233145664494942,0.004955451803696157,-0.3213006497619438,0.7530898018776188
-89.18636995827538,0.002653944066507967,0.0036203451450908812,0.002720866124256073,0.003568443497974565,-6.692205774810585e-05,0.005083373679734755,-0.013120864491314667,0.989730590917941
-89.15507649513212,0.003670809080694528,0.0034242115969893494,0.0009977531412510424,0.0034946231769727035,0.0026730559394434854,0.004892608323787133,0.6970980112130776,0.49801884225371895
-89.12378303198888,0.004746738345770858,0.003199115064841235,0.00035663124057643117,0.003443904988344823,0.004390107105194427,0.004700512606816462,1.8477207002301486,0.08751767751541183
-89.09248956884562,0.005472979357659183,0.0029741521207283044,0.0012845986112971562,0.003559664842409947,0.004188380746362026,0.004638619905480735,1.4606854964665072,0.16784615588694385
-89.06119610570236,0.005694646016317848,0.0026573484121836196,0.003046891943836117,0.0036689905309386923,0.0026477540724817315,0.004530230910213363,0.679117531415707,0.5089744696819163
-89.02990264255911,0.005711969796406255,0.002664579180912688,0.0047741857728756795,0.003555853466706393,0.0009377840235305756,0.004443430666505465,0.20564122731621517,0.8402564240705821
