Time,Concentration_Mean,Concentration_SEM,Mind_Wandering_Mean,Mind_Wandering_SEM,Difference_Mean,Difference_SEM,t_value,p_value
-90.0,-0.016544553369327537,0.007786603017031755,-0.00028570746220564567,0.009049868881872517,-0.016258845907121892,0.01193864788508031,-3.703593783247697,0.003015900607298314
-89.96870653685674,-0.005046362022184567,0.006256971706887756,0.011188503930170676,0.0074783105717406845,-0.016234865952355244,0.009750631976861929,-4.08272601147945,0.0015185912000363977
-89.93741307371349,-0.002704949151869027,0.00455319269583516,0.013100055786205416,0.005795294074583418,-0.015805004938074442,0.007370006589977266,-4.482436394142042,0.0007492311649924876
-89.90611961057023,-0.004658797285650561,0.0031269469255836195,0.010839707033877146,0.0037726337292284177,-0.015498504319527706,0.004900057380309823,-4.715133013356112,0.000501136696226518
-89.87482614742699,-0.006714039432500058,0.002858035898936573,0.007819343024233994,0.002562745684035501,-0.014533382456734053,0.0038387543084512157,-3.584331335482041,0.0037523031797212446
-89.84353268428373,-0.007047945110018902,0.0033558969334533373,0.005397108908684995,0.003376885082798657,-0.012445054018703897,0.004760818951649978,-2.3304589327785172,0.03803873027995608
-89.81223922114047,-0.006280636365607658,0.0038046906573230388,0.003051367404976749,0.004520458235665409,-0.009332003770584407,0.005908486579346393,-1.497298791558532,0.1601495651948555
-89.78094575799722,-0.00533474574568849,0.0037935966031952995,0.0013815142995783679,0.004937676779452545,-0.006716260045266858,0.006226718812193126,-1.1319901110219326,0.2797522996349279
-89.74965229485396,-0.004777158480945088,0.003511782193770387,0.0011829408278266505,0.004310210129752329,-0.005960099308771738,0.0055597235128288834,-1.3119385697523966,0.21408432514998849
-89.7183588317107,-0.004347786768525153,0.003398890000373781,0.0021588449200801627,0.0035148179040672433,-0.006506631688605316,0.004889416952295287,-1.5676080317886638,0.14295125415664817
-89.68706536856746,-0.0033573121175608446,0.0032683399736680562,0.004040146501681956,0.0033346592134712726,-0.0073974586192428,0.004669260996503125,-1.603131011335904,0.13488589129279888
-89.6557719054242,-0.002117957784724009,0.0030039969713794596,0.005721565999382733,0.0033643105775164025,-0.007839523784106742,0.004510275320426207,-1.7700367506306909,0.10209982402257188
-89.62447844228095,-0.0011254630508218083,0.0027119406851090523,0.0062801397515379505,0.003098046378979225,-0.007405602802359759,0.004117343032327528,-1.9079801655632496,0.08060295439006364
-89.59318497913769,0.00030555120569498675,0.0024749729369719104,0.006158672472095967,0.002587662592618728,-0.0058531212664009805,0.0035807106462239645,-1.649747440210048,0.12490567954400288
-89.56189151599443,0.00222762453824304,0.0022844556586144762,0.005661695418625555,0.0024269347316410897,-0.0034340708803825147,0.0033329791250203637,-0.915923928339844,0.3777458096693501
-89.53059805285118,0.002773955534621104,0.002377958456223092,0.005042623647814803,0.0025389628212667335,-0.002268668113193699,0.0034786518404832704,-0.5557353720962868,0.5886033637435375
-89.49930458970793,0.0013804353832837222,0.0024079651427978107,0.004613532363103964,0.002441172679648656,-0.0032330969798202414,0.003428938637653389,-0.8809705633413603,0.3956359860977241
-89.46801112656468,-0.0006525270521959655,0.002195267664412443,0.003685662090626968,0.0027460076475459647,-0.004338189142822933,0.0035156447657287253,-1.3507665006915759,0.2016916244162342
-89.43671766342142,-0.002027844825792968,0.002031428774314309,0.0026843158483963,0.003696676659688446,-0.004712160674189268,0.004218070790230702,-1.2259105405395991,0.24374675730893283
-89.40542420027816,-0.002113415355745386,0.0024175832908601416,0.00205944491303893,0.004968759483067643,-0.0041728602687843164,0.005525692695836494,-0.7872461207047446,0.4464084460588751
-89.3741307371349,-0.0011397465648542591,0.0032868932668663345,0.002354921802382046,0.005698739169056164,-0.003494668367236305,0.006578700134882739,-0.5520825287667065,0.5910258690309798
-89.34283727399165,7.928761615474875e-07,0.003966883342690016,0.003434100260935555,0.005640220613305953,-0.003433307384774008,0.006895524057044026,-0.5213038181210146,0.6116408293560125
-89.3115438108484,0.000722376560728656,0.004326158609108953,0.00384731334449617,0.00509990036254452,-0.003124936783767514,0.00668764771941893,-0.48221415322242145,0.6383297981113063
-89.28025034770515,0.0011159853011915952,0.004330789850669067,0.003489568712218399,0.0041388630853489575,-0.002373583411026804,0.0059904864885852544,-0.39359846210651755,0.7007813931712501
-89.24895688456189,0.0013442729273469155,0.0039639770093832846,0.002923097283890484,0.0029388870360607428,-0.0015788243565435685,0.0049345892171127215,-0.3059134699355609,0.7649126753941707
-89.21766342141864,0.001639163905674979,0.0036826279363524807,0.0013978107862638992,0.002116626879928062,0.0002413531194110797,0.004247570819472906,0.05729698654460523,0.9552516444504997
-89.18636995827538,0.002025291750878679,0.0035923553161077934,-0.00011050822724223442,0.0023352761711203348,0.0021357999781209135,0.0042846856958907,0.5275689984424461,0.6074154437218034
-89.15507649513212,0.0023739280406543883,0.003386393930844993,0.0005567932399225047,0.003079362633378509,0.0018171348007318836,0.00457713208054035,0.3962122122568427,0.6989033015534758
-89.12378303198888,0.002544947576886142,0.0031268340847732962,0.0030834429221635786,0.0036453909619486298,-0.0005384953452774368,0.004802704098646597,-0.10479800189720727,0.9182673890018804
-89.09248956884562,0.002229195799230671,0.0029895456601745293,0.0050376606108193675,0.003693792633583088,-0.0028084648115886965,0.004751998240128151,-0.5320270085703139,0.6044178381541804
-89.06119610570236,0.001248261657338509,0.00297761527862999,0.005424563336678928,0.0030091996976186284,-0.004176301679340419,0.0042333763791657835,-0.8987535894822783,0.38646284291115574
