Time,Concentration_Mean,Concentration_SEM,Mind_Wandering_Mean,Mind_Wandering_SEM,Difference_Mean,Difference_SEM,t_value,p_value
-90.0,,,,,,,,
-89.96870653685674,0.0035888530728593188,0.008889765658246746,,,,,,
-89.93741307371349,0.009461418255511816,0.007725486385612159,0.0075392333128185725,0.011200690695850606,0.0019221849426932433,0.013606565031571824,0.12275665568654813,0.9043317602630689
-89.90611961057023,,,0.003173075891438622,0.008958725302355005,,,,
-89.87482614742699,-0.00097999284161415,0.007077896376760019,,,,,,
-89.84353268428373,-0.003255841383805888,0.007198198339410857,,,,,,
-89.81223922114047,-0.003361966671832072,0.007344352303842053,,,,,,
-89.78094575799722,-0.003011676183900796,0.007277561457116793,,,,,,
-89.74965229485396,-0.0024001858758220408,0.006945052460075922,,,,,,
-89.7183588317107,-0.0013098862477815064,0.006417556885736332,,,,,,
-89.68706536856746,-0.000289017357909973,0.0058734438744237885,,,,,,
-89.6557719054242,0.0004726639029206252,0.005408190119960341,,,,,,
-89.62447844228095,0.0006211680670131851,0.005375825405196316,,,,,,
-89.59318497913769,0.0006130231500743427,0.0056960606270719805,,,,,,
-89.56189151599443,0.0013220029245022621,0.006480177948774415,,,,,,
-89.53059805285118,0.002441638093118666,0.007701592505090056,,,,,,
-89.49930458970793,,,,,,,,
-89.46801112656468,,,,,,,,
-89.43671766342142,,,,,,,,
-89.40542420027816,,,,,,,,
-89.3741307371349,,,,,,,,
-89.34283727399165,0.003870959857334357,0.008892583802856803,,,,,,
-89.3115438108484,0.0009030962007784277,0.007687293234311853,,,,,,
-89.28025034770515,-0.0028462748566844246,0.006822362545487602,,,,,,
-89.24895688456189,-0.005964043882880619,0.006278686011194217,,,,,,
-89.21766342141864,-0.007496895386052813,0.005941503332473477,,,,,,
-89.18636995827538,,,,,,,,
-89.15507649513212,,,,,,,,
-89.12378303198888,,,0.010145470226564072,0.012213164594397355,,,,
-89.09248956884562,,,,,,,,
-89.06119610570236,,,0.02312729043946125,0.018148238461007854,,,,
-89.02990264255911,,,0.02788940200242076,0.020631184181282486,,,,
-88.99860917941585,,,,,,,,
-88.9673157162726,,,,,,,,
-88.93602225312935,,,,,,,,
-88.9047287899861,,,,,,,,
-88.87343532684284,,,,,,,,
-88.84214186369958,,,,,,,,
-88.81084840055632,,,0.02100069134501335,0.017807164394791578,,,,
-88.77955493741307,,,0.01998689234545851,0.016927343946407613,,,,
-88.74826147426982,,,0.017732755846193913,0.015809659401959445,,,,
-88.71696801112657,,,0.01487585750295274,0.014387268851110226,,,,
-88.68567454798331,,,0.012080118311487963,0.012841333016323694,,,,
-88.65438108484005,,,0.011557678000454112,0.012228440270887946,,,,
-88.6230876216968,,,0.012578169663003645,0.012676028301222103,,,,
-88.59179415855354,,,,,,,,
-88.5605006954103,,,,,,,,
-88.52920723226704,,,0.011299692648307684,0.012062566543051557,,,,
-88.49791376912378,,,0.01043914401882263,0.012235709892373905,,,,
-88.46662030598053,,,0.010810901092224256,0.013539375645333977,,,,
-88.43532684283727,,,,,,,,
