Subject,Mean_Accuracy,Std_Accuracy,Num_Samples
003,0.6701754385964912,0.02045948033279055,94
005,0.458974358974359,0.044522449626116234,63
006,0.4916666666666666,0.12190615698606495,41
007,0.5815384615384616,0.026017745423519655,129
008,0.6749999999999999,0.010206207261596593,77
009,0.58,0.09959919678390987,126
010,0.6665322580645161,0.017592386579333454,159
011,0.47822822822822825,0.06777079879607253,182
012,0.850909090909091,0.04008255942736108,53
