,precision,recall,f1-score,support
Concentration,0.5953360768175583,0.8173258003766478,0.6888888888888889,531.0
Mind Wandering,0.5025641025641026,0.24936386768447838,0.3333333333333333,393.0
accuracy,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758
macro avg,0.5489500896908304,0.5333448340305631,0.5111111111111111,924.0
weighted avg,0.5558778669889781,0.5757575757575758,0.5376623376623376,924.0
